,City,Country,Lat,Long,Temp,Humidity,Cloudiness,Windspeed
0,Mount Isa,AU,-20.73,139.5,8.0,33,0,1.5
1,Punta Arenas,CL,-53.15,-70.92,1.83,74,75,5.7
2,São Félix do Xingu,BR,-6.64,-51.99,32.23,32,0,3.15
3,Butaritari,KI,3.07,172.79,28.58,77,10,6.76
4,Busselton,AU,-33.65,115.33,10.56,92,31,3.4
5,Rikitea,PF,-23.12,-134.97,22.59,80,66,8.39
6,Chicama,PE,-7.84,-79.15,20.52,63,26,3.29
7,Norman Wells,CA,65.28,-126.83,16.0,93,90,3.1
8,Bengkulu,ID,-3.8,102.27,25.67,88,100,2.55
9,Qaanaaq,GL,77.48,-69.36,9.0,71,100,1.26
10,Port Alfred,ZA,-33.59,26.89,21.85,33,0,4.57
11,Pasni,PK,25.26,63.47,30.94,81,2,2.72
12,Hermanus,ZA,-34.42,19.23,17.78,75,0,1.34
13,Yar-Sale,RU,66.83,70.83,11.3,92,100,6.22
14,Dikson,RU,73.51,80.55,4.08,94,100,4.55
15,Geraldton,AU,-28.77,114.6,10.0,93,0,3.48
16,Ushuaia,AR,-54.8,-68.3,-1.0,86,75,0.79
17,Ribeira Grande,PT,38.52,-28.7,25.0,57,75,7.2
18,Olafsvik,IS,64.89,-23.71,9.76,75,97,8.56
19,Sinop Province,TR,41.77,34.87,22.4,63,0,2.69
20,Nikolskoye,RU,59.7,30.79,23.54,38,20,7.0
21,Villa Carlos Paz,AR,-31.42,-64.5,17.44,67,74,1.5
22,Pevek,RU,69.7,170.31,5.26,72,10,2.04
23,Upernavik,GL,72.79,-56.15,9.34,51,3,2.74
24,Naze,JP,28.37,129.48,27.0,88,75,5.1
25,Cairns,AU,-16.92,145.77,15.13,82,40,3.6
26,Saint Paul Harbor,US,57.79,-152.41,13.0,87,90,1.5
27,Jamestown,US,42.1,-79.24,25.5,73,1,2.1
28,Orlik,RU,52.52,99.83,7.03,81,2,1.97
29,Rocha,UY,-34.48,-54.33,17.67,91,100,3.12
30,Bambanglipuro,ID,-7.95,110.28,23.64,84,71,1.89
31,Forestville,US,38.85,-76.88,31.3,55,1,1.5
32,Atuona,PF,-9.8,-139.03,26.3,79,3,7.94
33,Mar del Plata,AR,-38.0,-57.56,12.3,93,90,2.6
34,Mabaruma,GY,8.2,-59.78,28.23,85,72,2.01
35,Tasiilaq,GL,65.61,-37.64,12.0,58,20,4.6
36,East London,ZA,-33.02,27.91,24.0,29,0,2.1
37,Hobart,AU,-42.88,147.33,7.34,61,24,6.7
38,Muros,ES,42.78,-9.06,26.67,44,0,3.13
39,Albany,US,42.6,-73.97,26.44,62,0,0.52
40,Vostok,RU,46.49,135.88,18.08,83,0,1.04
41,Castro,BR,-24.79,-50.01,22.56,57,0,3.18
42,Ottumwa,US,41.02,-92.41,27.61,78,1,6.7
43,Mataura,NZ,-46.19,168.86,-0.26,95,0,1.23
44,Port Elizabeth,ZA,-33.92,25.57,22.0,24,0,6.7
45,Schwedt,DE,53.06,14.28,26.11,49,54,1.79
46,Vaini,TO,-21.2,-175.2,23.0,94,75,5.1
47,Torbay,CA,47.67,-52.73,15.42,58,40,5.1
48,Keti Bandar,PK,24.14,67.45,32.02,69,1,6.53
49,Sanghar,PK,26.05,68.95,35.0,56,40,5.1
50,Livingstone,ZM,-17.84,25.85,21.8,24,0,4.28
51,Yulara,AU,-25.24,130.99,12.0,30,0,2.1
52,Murdochville,CA,48.96,-65.5,18.93,69,70,1.39
53,Hilo,US,19.73,-155.09,20.92,88,90,3.1
54,Aklavik,CA,68.22,-135.01,7.0,93,90,3.1
55,Omboué,GA,-1.57,9.26,25.03,73,4,4.67
56,Clyde River,CA,70.47,-68.59,6.0,81,75,4.1
57,Hithadhoo,MV,-0.6,73.08,27.58,81,100,15.33
58,Kaitangata,NZ,-46.28,169.85,2.65,92,6,1.96
59,Saint-Philippe,RE,-21.36,55.77,16.43,68,75,4.1
60,Hong Kong,HK,22.29,114.16,29.27,66,100,3.58
61,Khatanga,RU,71.97,102.5,8.67,84,98,2.5
62,Barrow,US,71.29,-156.79,2.0,92,90,7.2
63,Thompson,CA,55.74,-97.86,17.0,82,75,4.1
64,Atlantic City,US,39.36,-74.42,31.02,55,1,3.1
65,Vardø,NO,70.37,31.11,14.0,93,75,2.1
66,Grindavik,IS,63.84,-22.43,12.0,66,75,17.5
67,Chui,UY,-33.7,-53.46,17.83,88,100,3.09
68,Baykit,RU,61.67,96.37,10.71,67,49,2.91
69,New Norfolk,AU,-42.78,147.06,5.65,78,38,0.45
70,Clarksville,US,36.53,-87.36,28.39,83,1,2.1
71,Airai,TL,-8.93,125.41,13.49,61,97,1.07
72,Kapaa,US,22.08,-159.32,23.62,88,20,4.1
73,Tuktoyaktuk,CA,69.45,-133.04,5.0,93,90,7.2
74,Mareeba,AU,-17.0,145.43,13.95,91,1,0.89
75,Atbasar,KZ,51.8,68.33,27.88,49,5,4.56
76,Labuan,MY,5.28,115.24,27.89,88,20,0.5
